Date,close,Open,High,Low,Vol.,Change %
16 02 2003,1066.15,1036.20,1071.70,1036.20,244.00M,2.91%
09 02 2003,1036.00,1058.20,1058.75,1034.10,187.46M,-2.03%
02 02 2003,1057.50,1040.25,1065.95,1036.50,262.62M,1.50%
26 01 2003,1041.85,1057.80,1059.80,1026.20,361.85M,-1.34%
19 01 2003,1056.05,1086.25,1087.00,1053.40,264.72M,-2.80%
12 01 2003,1086.50,1080.25,1091.35,1070.30,229.69M,0.58%
05 01 2003,1080.25,1089.75,1103.25,1077.40,250.64M,-0.86%
29 12 2002,1089.60,1095.80,1105.60,1084.35,258.47M,-0.80%
22 12 2002,1098.40,1079.30,1103.95,1072.65,216.91M,1.77%
15 12 2002,1079.30,1089.00,1100.00,1069.00,287.50M,-0.64%
08 12 2002,1086.20,1070.50,1087.35,1045.65,372.26M,1.53%
01 12 2002,1069.80,1050.15,1075.75,1034.10,369.50M,1.87%
24 11 2002,1050.15,1020.90,1057.45,1017.50,349.96M,2.94%
17 11 2002,1020.15,990.35,1026.00,989.05,298.94M,3.01%
10 11 2002,990.35,957.55,992.05,948.05,273.34M,3.49%
03 11 2002,956.95,951.6,970.2,951.6,175.75M,0.58%
27 10 2002,951.45,932.35,956.95,920.1,347.51M,2.07%
20 10 2002,932.2,971.75,976.35,929.25,207.75M,-4.06%
13 10 2002,971.65,971.5,983.6,966.55,199.86M,0.06%
06 10 2002,971.05,947.8,973.5,945,240.38M,2.41%
29 09 2002,948.2,976.15,976.15,944.5,167.60M,-2.89%
22 09 2002,976.45,969.85,978,960.2,202.88M,0.71%
15 09 2002,969.6,991.75,997,960.7,189.72M,-2.26%
08 09 2002,992,992.05,1005.85,985.25,170.36M,-0.32%
01 09 2002,995.2,1010.90,1024.65,990.85,256.81M,-1.52%
25 08 2002,1010.60,992.4,1012.75,981.1,289.39M,1.55%
18 08 2002,995.2,979.4,996.4,978.2,206.89M,1.63%
11 08 2002,979.25,961.15,981.2,961.15,140.32M,1.80%
04 08 2002,961.95,954.9,978.6,948,223.05M,0.75%
28 07 2002,954.75,973,987.5,935.55,254.47M,-1.93%
21 07 2002,973.5,1035.20,1035.20,972.55,266.54M,-6.02%
14 07 2002,1035.90,1057.95,1058.45,1025.00,179.26M,-2.11%
07 07 2002,1058.25,1074.00,1087.40,1054.90,189.35M,-1.45%
30 06 2002,1073.80,1058.00,1078.55,1058.00,184.77M,1.51%
23 06 2002,1057.80,1065.60,1068.90,1042.20,208.83M,-0.45%
16 06 2002,1062.55,1085.80,1097.55,1056.25,200.50M,-2.13%
09 06 2002,1085.70,1049.95,1102.05,1049.95,221.77M,3.52%
02 06 2002,1048.80,1029.25,1072.00,1029.25,198.90M,1.94%
26 05 2002,1028.80,1067.00,1071.50,1020.10,258.23M,-3.58%
19 05 2002,1067.00,1091.70,1097.95,1024.30,255.54M,-2.17%
12 05 2002,1090.65,1116.80,1125.95,1079.95,229.86M,-2.31%
05 05 2002,1116.40,1096.95,1136.55,1096.25,186.90M,1.77%
28 04 2002,1096.95,1097.55,1101.10,1073.30,156.00M,-0.04%
21 04 2002,1097.40,1100.50,1116.85,1088.05,194.60M,-0.26%
14 04 2002,1100.30,1146.55,1152.55,1097.60,176.10M,-4.03%
07 04 2002,1146.50,1141.90,1151.55,1122.10,204.27M,0.40%
31 03 2002,1141.95,1129.85,1153.30,1121.45,221.73M,1.10%
24 03 2002,1129.55,1138.10,1140.20,1117.85,129.61M,-0.78%
17 03 2002,1138.45,1169.95,1184.70,1135.90,195.14M,-2.68%
10 03 2002,1169.75,1187.50,1192.75,1143.55,236.51M,-1.51%
03 03 2002,1187.65,1178.45,1201.10,1162.75,299.70M,0.82%
24 02 2002,1178.00,1163.65,1205.95,1135.20,367.87M,1.25%
17 02 2002,1163.50,1159.85,1178.10,1134.65,256.45M,0.31%
10 02 2002,1159.95,1124.85,1164.10,1124.85,304.52M,3.22%
03 02 2002,1123.75,1083.05,1131.85,1069.40,367.14M,3.89%
27 01 2002,1081.65,1083.25,1088.75,1058.80,283.83M,0.14%
20 01 2002,1080.10,1093.25,1099.80,1077.00,281.38M,-1.19%
13 01 2002,1093.15,1089.45,1121.75,1078.95,343.55M,0.42%
06 01 2002,1088.55,1093.05,1119.40,1073.45,344.20M,-0.70%
30 12 2001,1096.20,1033.90,1099.25,1033.90,282.99M,6.04%
23 12 2001,1033.80,1051.00,1058.30,1010.45,201.14M,-1.62%
